Weizenvollkornmehl,8.8g,1.6g,63.4g,303
Whey Protein natur,85g,2.7g,0g,364
Wildreis gekocht,5.4g,0.5g,27g,134
Wildreis gemischt roh,9g,2g,77g,362
Wildreis roh,14g,1g,73g,357
Windbeutel,5g,18.4g,27g,294
Zwieback,10g,10g,72g,418
Appenzeller,24g,31g,0g,375
Ayran,1.8g,2.5g,2g,38
Bergkäse 50% i.Tr.,29g,33g,0g,413
Blauschimmelkäse,17g,32g,0g,356
Brie,22g,26g,0g,322
Büffelmozzarella,14g,24g,1g,276
Butterkäse,22g,33g,0g,385
Buttermilch,3.8g,1.3g,4.2g,44
Camembert,19g,35g,0g,391
Cheddar Käse,22g,33g,0g,385
Creme fraiche 15%,2g,15g,4g,159
Creme fraiche 30%,2g,30g,5g,298
Edamer Käse,22g,30g,0g,358
Emmentaler Käse,25g,30g,0g,370
Erdbeerjoghurt 1.5%,3.2g,1.5g,13.1g,79
Feta Käse,20g,25g,0g,305
Frischkäse fettreduziert,10.7g,10g,3g,145
Frischkäse körnig,11.9g,4.2g,1.1g,90
Frischkäse. Doppelrahm,10.7g,30.9g,3.2g,334
Fruchtjoghurt 1.5%,3g,1.5g,13.1g,78
Gorgonzola,20g,33g,0g,377
Gouda Käse,22g,32g,0g,376
griechischer Joghurt 10%,6.5g,10g,4.3g,133
Halloumi,22g,21.8g,2.2g,293
Handkäse,29g,0.5g,0g,121
Harzer Käse,28g,0.5g,0g,117
Haselnussmilch,0.4g,1.6g,3.1g,28
Hüttenkäse,10.8g,4.1g,3.3g,93
Joghurt. 0.1%,5.5g,0.1g,5.8g,46
Joghurt. 1.5%,3.4g,1.5g,5g,47
Joghurt. 3.5%,3.4g,3.5g,5g,65
Kaffeesahne 10%,3g,10g,4g,118
Kaffeesahne 4%,3g,4g,4g,64
Kaffeesahne 7.5%,3g,7.5g,4g,96
Kakaomilch 1.5%,3g,2.6g,20g,115
Kakaomilch 3.5%,3g,3.6g,20g,124
Kefir,3.4g,3.5g,3.5g,59
Kokosmilch,2g,21g,6g,221
Kräuterquark. 40%,10g,12g,3g,160
Limburger Käse,24g,18g,0g,258
Maasdamer Käse,24g,28g,0g,348
Mascarpone,6g,38g,4g,382
Milch 0.3%,3g,0.3g,5g,35
Milch 1.5%,3g,1.5g,5g,46
Milch 3.5%,3g,3.5g,5g,64
Milchpulver,26g,27g,37g,495
Molke,1.5g,0.3g,4.4g,26
Mozzarella Käse,14g,22g,0g,254
Ofenkäse,15g,32g,1g,352
Parmesan Käse,30g,30g,0g,390
Pecorino,28g,34g,0g,418
Quark. 20%,12.4g,5.1g,3g,108
Quark. 40%,13g,12g,4g,176
Quark. Magerquark 0.5%,14g,0g,4g,72
Ricotta,11g,16g,1g,192
Romadur Käse,23g,22g,0g,290
Roquefort Käse,20g,30g,0g,350
Sahne 10%,2.5g,10g,3g,112
Sahne 20%,2.5g,20g,3g,202
Sahne 30%,2.5g,30g,3g,292
Sauerrahm,2g,10g,4g,114
Schafskäse,20g,25g,0g,305
Schlagsahne,2g,30g,2g,286
Schmand,2g,30g,4g,294
Schmelzkäse,12g,23g,5g,275
Skyr 0.2%,11g,0.2g,4g,62
Sojajoghurt,2.4g,1.1g,17g,88
Sojamilch,3.3g,1.9g,6g,54
Tilsiter Käse,22g,26g,1g,326
Ziegenfrischkäse,9g,12.7g,3.5g,164
Ziegenkäse,22.4g,26g,0g,324
Aal,14g,23g,0g,263
Auster,10g,0.5g,0g,45
Backfisch,8.7g,9g,22.4g,205
Bacon,35g,36g,1.5g,470
Barsch,20g,1.5g,0g,94
Bauchspeck,14g,30g,1g,330
Bierschinken,15g,10g,0g,150
Bismarckhering,13g,12g,3g,172
Blutwurst,15g,28g,0g,312
Bockwurst,12g,26g,0g,282
Brathering,14g,8.8g,9.5g,173
Bratwurst,17g,28g,0g,320
Bündnerfleisch,38g,3.4g,0g,183
Cabanossi,14g,30g,0g,326
Cervelatwurst,17g,31g,1g,351
Cevapcici,17g,19g,1g,243
Chicken Nuggets,15g,20g,14g,296
Chicken Wings,15g,14g,0g,186
Cordon bleu v. Schwein,15g,10.8g,11.8g,204
Corned Beef,20g,7g,0g,143
Crevetten,19g,1g,0g,85
Currywurst mit Sauce,11g,25g,15g,329
Dönerfleisch,25g,14g,2.8g,237
Dorade,22g,5g,0g,133
Ei - Vollei,12g,11g,1g,151
Eigelb,17g,31.5g,0g,352
Eisbein roh,20g,13g,0g,197
Eiweiss / Eiklar,10g,0g,1g,44
Ente,15g,16g,0g,204
Entenbrust,16g,10g,0g,154
Entenleber,17g,4g,0g,104
Fleischkäse,18g,15g,0g,207
Fleischwurst,15g,25g,0g,285
Flusskrebs,15g,0.4g,0g,64
Forelle,19g,5g,0g,121
Forelle geräuchert,19g,4.5g,0g,117
Frikadelle,20g,20g,5g,280
Gambas,20g,0.6g,0g,85
Gans,19g,10g,0g,166
Gänsebrust,21g,6.3g,0g,141
Gänsekeule,21g,9.4g,0g,169
Gänseleberpastete,16g,24g,0g,280
Garnelen,22g,0.9g,1.1g,101
Geflügelfleischwurst,25g,15g,0g,235
Geflügelwiener,14g,18g,1.5g,224
Geflügelwurst,15g,18.4g,1.2g,230
